title,artist,link
Play-Areas (Unknown),Wendy McMurdo,https://collections.ed.ac.uk/art/record/21597?highlight=*:*
Portrait of a Woman (Pre 1949?),John Hunter,https://collections.ed.ac.uk/art/record/21042?highlight=*:*
Portrait of a Woman (1958),David Rifat,https://collections.ed.ac.uk/art/record/20872?highlight=*:*
Standing Male Nude (1953),James Martin,https://collections.ed.ac.uk/art/record/20952?highlight=*:*
Relic of Origins: Wild Boar (2013),Kyle Noble,https://collections.ed.ac.uk/art/record/21304?highlight=*:*
Unknown (Circa 1890),Unknown,https://collections.ed.ac.uk/art/record/50468?highlight=*:*
Rosa Regolit (2007),Bridget Steed,https://collections.ed.ac.uk/art/record/99973?highlight=*:*
Mefisto (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22037?highlight=*:*
Plate (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53716?highlight=*:*
Untitled (1993),Esther Donaldson,https://collections.ed.ac.uk/art/record/21625?highlight=*:*
Standing Male Nude (1939),Heather Measham,https://collections.ed.ac.uk/art/record/21137?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21999?highlight=*:*
Unknown (1957),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50523?highlight=*:*
Still Life,Ianthe Fisher,https://collections.ed.ac.uk/art/record/122799?highlight=*:*
Portrait of a Seated Man (1955),Peter McGinn,https://collections.ed.ac.uk/art/record/21213?highlight=*:*
Summer Composition 1967 (1967),Alan T. Johnston,https://collections.ed.ac.uk/art/record/122689?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53625?highlight=*:*
Untitled (2002),Lisa Flett,https://collections.ed.ac.uk/art/record/99926?highlight=*:*
Portrait of a Seated Man (1954),Edith Fraser,https://collections.ed.ac.uk/art/record/21208?highlight=*:*
Untitled (1968),Maureen Purcell,https://collections.ed.ac.uk/art/record/22499?highlight=*:*
Untitled (Unknown),Catherine Fairgrieve,https://collections.ed.ac.uk/art/record/21721?highlight=*:*
Untitled (1960),Robert L Snowden,https://collections.ed.ac.uk/art/record/21538?highlight=*:*
No 98 (1960),John Johnstone,https://collections.ed.ac.uk/art/record/99207?highlight=*:*
Still Life,Gavin Robson,https://collections.ed.ac.uk/art/record/122713?highlight=*:*
Untitled (1967),Sam Rae,https://collections.ed.ac.uk/art/record/21756?highlight=*:*
Step 2 (2013),Maria Hadam,https://collections.ed.ac.uk/art/record/21307?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21793?highlight=*:*
East Frieze of the Parthenon Frieze (1836-1837),Ann F Ward,https://collections.ed.ac.uk/art/record/20687?highlight=*:*
Sitting Nude Woman (1961),Eileen Duncan,https://collections.ed.ac.uk/art/record/122888?highlight=*:*
Standing Female Nude (1953),Sheila Percival,https://collections.ed.ac.uk/art/record/20929?highlight=*:*
